date,Rank,Company Name,% of Net Assets,Ticker,Identifier,Type,Shares Held,Market Value($),Notional Value($)
10_25_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3493775
10_25_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3777638
10_25_2021,5,EURO,-7.93,–,–,Currency,-237084,-275327,0
10_26_2021,1,Cash,106.11,–,–,Cash,3729947,3729947,0
10_26_2021,2,EURO,0.33,–,–,Currency,10000,11594,0
10_26_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3536509
10_26_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3772438
10_26_2021,5,EURO,-6.44,–,–,Currency,-195264,-226388,0
10_27_2021,1,Cash,105.94,–,–,Cash,3733771,3733771,0
10_27_2021,2,EURO,0.33,–,–,Currency,10000,11596,0
10_27_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3542447
10_27_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3776338
10_27_2021,5,EURO,-6.27,–,–,Currency,-190674,-221105,0
10_28_2021,1,Cash,108.37,–,–,Cash,3758070,3758070,0
10_28_2021,2,EURO,0.34,–,–,Currency,10000,11677,0
10_28_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3487856
10_28_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3800713
10_28_2021,5,EURO,-8.7,–,–,Currency,-258504,-301843,0
10_29_2021,1,Cash,108.13,–,–,Cash,3717046,3717046,0
10_29_2021,2,EURO,0.34,–,–,Currency,10000,11572,0
10_29_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3465040
10_29_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3759763
10_29_2021,5,EURO,-8.46,–,–,Currency,-251364,-290890,0
11_01_2021,1,Cash,111.48,–,–,Cash,3732262,3732262,0
11_01_2021,2,EURO,0.35,–,–,Currency,10000,11590,0
11_01_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3365794
11_01_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3775200
11_01_2021,5,EURO,-11.83,–,–,Currency,-341634,-395969,0
11_02_2021,1,Cash,106.74,–,–,Cash,3724065,3724065,0
11_02_2021,2,EURO,0.33,–,–,Currency,10000,11580,0
11_02_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3511580
11_02_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3767075
11_02_2021,5,EURO,-7.07,–,–,Currency,-213114,-246785,0
11_03_2021,1,Cash,106.08,–,–,Cash,3733415,3733415,0
11_03_2021,2,EURO,0.33,–,–,Currency,10000,11585,0
11_03_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3534232
11_03_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3776500
11_03_2021,5,EURO,-6.41,–,–,Currency,-194754,-225613,0
11_04_2021,1,Cash,106.02,–,–,Cash,3713443,3713443,0
11_04_2021,2,EURO,0.33,–,–,Currency,10000,11545,0
11_04_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3524673
11_04_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3757325
11_04_2021,5,EURO,-6.35,–,–,Currency,-192714,-222498,0
11_05_2021,1,Cash,106.88,–,–,Cash,3712392,3712392,0
11_05_2021,2,EURO,0.33,–,–,Currency,10000,11555,0
11_05_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3499746
11_05_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3756350
11_05_2021,5,EURO,-7.21,–,–,Currency,-216684,-250369,0
11_08_2021,1,Cash,104.67,–,–,Cash,3724843,3724843,0
11_08_2021,2,EURO,0.33,–,–,Currency,10000,11589,0
11_08_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3583458
11_08_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3769025
11_08_2021,5,EURO,-5,–,–,Currency,-153444,-177826,0
11_09_2021,1,Cash,105.05,–,–,Cash,3726229,3726229,0
11_09_2021,2,EURO,0.33,–,–,Currency,10000,11585,0
11_09_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3569090
11_09_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3770488
11_09_2021,5,EURO,-5.38,–,–,Currency,-164664,-190756,0
11_10_2021,1,Cash,100.45,–,–,Cash,3690078,3690078,0
11_10_2021,2,EURO,0.31,–,–,Currency,10000,11518,0
11_10_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3710287
11_10_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3734413
11_10_2021,5,EURO,-0.77,–,–,Currency,-24414,-28121,0
11_11_2021,1,Cash,99.59,–,–,Cash,3677324,3677324,0
11_11_2021,2,EURO,0.31,–,–,Currency,10000,11471,0
11_11_2021,3,EURO,0.1,–,–,Currency,3126,3586,0
11_11_2021,4,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3726599
11_11_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3721738
11_12_2021,1,Cash,100.27,–,–,Cash,3676757,3676757,0
11_12_2021,2,EURO,0.31,–,–,Currency,10000,11445,0
11_12_2021,3,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3692886
11_12_2021,4,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3721250
11_12_2021,5,EURO,-0.59,–,–,Currency,-18804,-21520,0
11_15_2021,1,Cash,96.19,–,–,Cash,3657346,3657346,0
11_15_2021,2,EURO,3.51,–,–,Currency,116856,133455,0
11_15_2021,3,EURO,0.3,–,–,Currency,10000,11420,0
11_15_2021,4,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3840056
11_15_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3702075
11_16_2021,1,Cash,93.86,–,–,Cash,3634646,3634646,0
11_16_2021,2,EURO,5.85,–,–,Currency,199476,226415,0
11_16_2021,3,EURO,0.29,–,–,Currency,10000,11350,0
11_16_2021,4,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3910297
11_16_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3679650
